category,min,max
brown rice,0.0,4.855386087776319
quinoa,0.0,5.3659412200239895
olive oil,0.0,3.9318256327243257
carrot,0.0,5.003102312299108
watermelon,0.0,5.318119993844216
raspberries,0.0,5.056245805348308
berries,0.0,6.049733455231958
cantaloupe,0.0,5.707110264748875
pineapple,0.0,5.241747015059643
bacon,0.0,4.532599493153256
milk,0.0,4.333077130935575
greek yogurt,0.0,4.265603346017395
blueberries,0.0,4.499809670330265
scrambled eggs,0.0,5.950642552587727
chia seeds,0.0,5.099866427824199
salt,0.0,1.5434416893651246
pepper,0.0,2.928538764386115
caesar salad,0.0,5.752572638825633
chicken apple sausage,0.0,5.153291594497779
cottage cheese,0.0,5.176149732573829
wheat berry,0.0,5.007588564191355
broccoli,0.0,5.579729825986222
green beans,0.0,4.944673559782213
chard,0.0,4.600157644164547
cherry tomatoes,0.0,5.521271996017639
fish,0.0,5.65749574926734
shallots,0.0,2.8618462466255847
garlic,0.0,2.388495505811644
chive,0.0,1.7169583338152565
parsley,0.0,2.267550589425845
lemon juice,0.0,2.995732273553991
vinegar,0.0,2.7066792617942106
cucumbers,0.0,4.624972813284271
lettuce,0.0,5.25227342804663
walnuts,0.0,3.556079879359668
lime,0.0,2.0176271733330946
arugula,0.0,4.8644026746380336
mustard,0.0,1.074627950192399
onions,0.0,4.31748811353631
mixed greens,0.0,5.602118820879701
sweet potato,0.0,5.063058096682517
snow peas,0.0,2.251156947409218
artichokes,0.0,4.394449154672439
zucchini,0.0,4.460144413937834
white beans,0.0,3.772613685874252
squash,0.0,5.742129338165354
bell peppers,0.0,4.605170185988092
olives,0.0,4.867534450455582
grilled chicken,0.0,5.272999558563747
strawberries,0.0,4.804021044733257
jalapenos,0.0,1.9146414829722613
pork,0.0,5.602030754271324
mayonnaise,0.0,3.4318012040229617
cabbage,0.0,3.5023320208684527
cauliflower,0.0,5.934894195619588
eggplant,0.0,5.010766005553141
grapes,0.0,5.749392985908253
salsa,0.0,5.293304824724492
egg whites,0.0,6.3473892096560105
sausage,0.0,4.890349128221754
chayote squash,0.0,4.460144413937834
eggs,0.0,5.204006687076795
green onions,0.0,1.439663786355553
chili,0.0,2.328136458701607
chicken thighs,0.0,5.359122993158586
white rice,0.0,8.003697339094368
basil,0.0,0.909552883469313
orange juice,0.0,0.828041643781509
soy sauce,0.0,2.79893898455962
beef,0.0,5.515068276400458
radishes,0.0,3.970291913552122
roasted potatoes,0.0,5.087596335232384
kale,0.0,4.600157644164547
thyme,0.0,0.7251123085769279
cheese pizza,0.0,5.43372200355424
rosemary,0.0,0.688667160238237
corn on the cob,0.0,5.2832037287379885
chicken,0.0,5.94673455651714
hash browns,0.0,4.990432586778736
spinach (raw),0.0,4.781794888142918
ginger,0.0,0.9635688964051669
steak,0.0,5.611646684807258
mushroom,0.0,4.770684624465665
spinach (cooked),0.0,2.2242881439301434
bok choy,0.0,5.572154032177765
millet,0.0,3.5259954874099515
celery,0.0,3.4657359027997265
pepperoni pizza,0.0,5.14166355650266
cheese,0.0,4.03663818651376
cilantro,0.0,1.4690531461443876
tomatoes,0.0,4.976733742420574
tortilla,0.0,4.319896304847873
almonds,0.0,4.897839799950911
vegetable oil,0.0,3.5813119214514613
buttermilk,0.0,3.3651041195981537
flour,0.0,2.7059316251708725
greek salad,0.0,4.941642422609304
pecans,0.0,1.5576704003599566
waffles,0.0,4.919524617355686
honeydew melons,0.0,5.645446897643238
avocado,0.0,4.836281906951478
mustard greens,0.0,3.819081410311096
potatoes,0.0,4.804021044733257
pears,0.0,5.318119993844216
goat cheese,0.0,3.8712010109078907
turkey bacon,0.0,4.418840607796598
hominy,0.0,2.5231890221962456
brussels sprouts,0.0,5.262078224490782
deprecated,0.0,4.976733742420574
vinaigrette,0.0,4.276666119016055
granola,0.0,2.7522213967816023
blackberries,0.0,4.290459441148391
bread,0.0,3.8501476017100584
chickpeas,0.0,4.941642422609304
apple,0.0,5.087596335232384
pizza,0.0,5.455321115357702
wine,0.0,1.7540717937051968
figs,0.0,3.0715334293201173
tuna,0.0,5.638354669333745
asparagus,0.0,4.804021044733257
country rice,0.0,5.075173815233827
salmon,0.0,5.78446096786758
sun dried tomatoes,0.0,2.348080884290219
cream,0.0,2.5545643113641567
oregano,0.0,0.6559680220151489
white wine,0.0,0.554807676040213
butter,0.0,1.3778646809911335
parmesan cheese,0.0,3.6109179126442243
rice noodles,0.0,4.1803010719237035
cookies,0.0,3.9512437185814275
tofu,0.0,5.541263545158426
pumpkin seeds,0.0,1.8581345840444863
tatsoi,0.0,4.644408283605647
chicken breast,0.0,5.193264775698722
yam,0.0,4.820281565605037
wild rice,0.0,5.236441962829949
sugar,0.0,3.3987281355817425
mandarin oranges,0.0,4.605170185988092
tomatillo,0.0,3.3858483523595173
corn,0.0,4.382026634673881
jicama,0.0,2.271501463794545
sour cream,0.0,2.4737977572279926
nopales,0.0,2.0176271733330946
tuna salad,0.0,5.43372200355424
beets,0.0,2.057278367984944
bulgur,0.0,4.343805421853684
fried rice,0.0,4.859812404361672
mangos,0.0,3.052979197365705
caesar dressing,0.0,4.812184355372417
croutons,0.0,2.3978952727983707
pickles,0.0,1.0545799381317509
lentils,0.0,4.912654885736052
garden salad,0.0,4.127134385045092
plate only,0.0,4.465908118654584
yogurt,0.0,5.0106352940962555
kimchi,0.0,4.3694478524670215
cranberries,0.0,2.0862077243510586
tortilla chips,0.0,1.4793907286126788
black beans,0.0,4.110873864173311
celery root,0.0,2.206603237666212
bagels,0.0,4.720283037651875
succotash,0.0,4.442651256490317
feta cheese,0.0,2.5843989058414394
orange,0.0,4.859812404361672
brownies,0.0,4.700480365792417
pasta,0.0,5.258137306568709
ketchup,0.0,3.604164374976813
couscous,0.0,4.709530201312334
turnips,0.0,4.438416880631748
ground turkey,0.0,4.672485813019955
chicken salad,0.0,4.584967478670572
ice cream cones,0.0,1.9459101490553132
frozen yogurt,0.0,4.787491742782046
cereal,0.0,1.791759469228055
cream cheese,0.0,3.3603754218641217
sunflower seeds,0.0,1.510094148656521
raisins,0.0,1.7171188937278863
oatmeal,0.0,5.521460917862246
syrup,0.0,3.6651629274966204
pesto,0.0,2.460091450517522
grapefruit juice,0.0,5.497168225293202
brown sugar,0.0,2.3978952727983707
tempeh,0.0,5.313205979041787
parsnips,0.0,4.382026634673881
blue cheese,0.0,3.035566500392335
sandwiches,0.0,4.465908118654584
fruit salad,0.0,5.049856007249537
cod,0.0,4.574710978503383
pilaf,0.0,4.553876891600541
pepperoni,0.0,4.3694478524670215
orange with peel,0.0,4.219507705176107
mozzarella cheese,0.0,3.295836866004329
baby carrots,0.0,2.995732273553991
banana with peel,0.0,4.8283137373023015
wheat bread,0.0,4.418840607796598
chilaquiles,0.0,5.25227342804663
pasta salad,0.0,4.74493212836325
balsamic vinegar,0.0,2.302585092994046
toast,0.0,4.442651256490317
